concept_id,concept_name
3020158,FVC
3037879,FVC pre (if recorded differently)
3001668,FVC post
3024653,FEV 1
3005025,FEV 1 pre (if recorded differently)
3023550,FEV 1 post
42868460,FEF 25-75
42868461,FEF 25-75 pre (if recorded differently)
42868462,FEF 25-75 post
3023329,Peak Flow (PF)
2000000064,Peak Flow post
