old_code,new_code
G2-004,AA-001
G2-006,AA-002
G1-003,AA-003
G2-011,AA-004
G4-002,BA-001
G2-009,CA-001
G2-010,CA-002
G2-003,CA-003
G2-003,CA-004
G2-013,CA-005
G2-013,CA-006
G2-005,CA-007
G2-008,CA-008
G2-008,CA-009
G2-002,CA-010
G2-007,CA-011
G2-012,CA-012
G3-002,CA-012
G3-005,CA-013
G2-014,CA-013
G1-002,CA-014
G1-002,CA-015
G3-003,CB-001
